rut,nombres,notas
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
202565743,Felipe Ignacio Bastidas Lopez, 7
195119430,Miriam Moreno,6.2
,Seba Camus,3.0
13123123,Maxi,7
123321321,Miriam Lisboa,6.2
10,Juanito perez,5.2
